title,playlist,duration_min,watch_min,views,impressions,subs_net,month
Cleaning Messy Excel Files,Excel,12.7,276.54,1824,42401,63,February
VLOOKUP vs XLOOKUP,Excel,22.0,360.68,9847,12372,74,February
Dashboard Design Principles,Excel,17.0,67.69,3641,9996,1,February
Pivot Tables in Real Life,Excel,11.0,409.73,7919,17458,1,February
Copilot in Excel,Excel,6.0,210.24,5563,24863,76,February
Power BI vs Excel Dashboards,Excel,20.0,493.93,9049,22792,25,February
Charts in Excel,Excel,12.0,322.6,8075,41483,19,February
Python Programming Interview,Python,17.0,156.75,1167,9942,117,February
Course Preview _ Python Pandas for Analytics/Data Science _Level 1 | Udemy Online Course,Python,7.0,262.21,2500,13254,2,February
2 B Probability Addition Rule Generalization,Statistics,5.0,235.33,6489,12344,26,February
5.  DIY Fountain1 |Fun Experiment_ Kids | Science Fun | Fun Learning | Toddler Activity | Parenting,Science Experiments,5.0,206.99,1960,2750,1,February
5 C Bayes Theorem Use Cases,Statistics,12.0,468.29,7690,3421,55,February
