title,playlist,duration_min,watch_min,views,impressions,subs_net,month
Common Excel Mistakes,Excel,11.5,89.92,1865,37801,21,January
Analyzing Survey Data in Excel,Excel,9.6,104.29,9191,42196,0,January
Advanced Excel Formulas,Excel,8.4,257.35,9202,35072,6,January
Excel Charts Masterclass,Excel,14.4,142.85,7994,24752,2,January
Excel for Data Analysis,Excel,4.1,213.92,4812,18685,3,January
megastats,Excel,13.0,107.41,3203,29769,440,January
Printing Excel file,Excel,16.0,177.7,9162,24150,63,January
Excel file formats,Excel,5.0,213.39,8620,3711,52,January
Protecting Data in Excel,Excel,5.0,340.66,7614,5853,12,January
SuperCharge Your Excel Skills with Python,Excel,19.0,306.85,1853,30077,22,January
"How to Start Data Science Journey | Learn Smartly | Got Less Time, Too Much to Learn | Career Advice",Career Advice,5.0,414.44,7766,2341,55,January
Storytelling with Data | Data Visualization | Communicate your analysis effectively,Data Storytelling,23.0,164.59,9202,45623,0,January
Tutorial 2 Operators in Python |Python for Beginners | Python for Excel or R users,Python,15.0,356.68,884,25791,7,January
3A python and i pyhton files Jupyter and Jupyter Lab,Python,9.0,392.1,904,1338,18,January
1 Download_install python|Anaconda |Python for Analytics/DS| Why Anaconda Distribution? |Python IDEs,Python,16.0,318.04,8675,6895,11,January
